ancestry	expression	nearest_state
1	-0.272936662180752	1
1	0.220523181239475	1
0	0.353514089333834	0
0	0.0395805783841015	0
1	0.159444512841704	1
1	-0.501776712867728	1
0	-0.0616906145970884	0
0	-0.0677892216979732	0
0	-0.0828911722322045	0
1	-0.361771571703992	1
0	0.403947015009818	0
1	-0.235978294108187	1
0	0.330978573303095	0
0	0.0779085592068753	0
0	0.0488482426327241	0
1	-0.106386475947997	1
1	0.0556269934730027	1
0	0.243242805605926	0
1	-0.469232507648489	1
1	-0.631259694190987	1
0	0.289081705998061	0
1	-0.216910410789405	1
0	-0.0592356897750861	0
1	0.0535997380102531	1
0	0.347638816131477	0
1	-0.169273728355856	1
1	-0.208706357233027	1
0	-0.123701466480081	0
0	0.122606826254784	0
0	0.262313161230123	0
0	0.0598208175935664	0
0	0.281228410330893	0
1	-0.116330545794503	1
1	-0.125717775228056	1
0	0.273628371256519	0
1	0.166618085756464	1
0	0.0310785994341725	0
0	-0.256335371373519	0
1	-0.807114301969484	1
0	-0.439356252616645	0
1	-0.116120507838621	1
0	0.0296035049062375	0
2	-0.538645895085838	2
0	0.0517768426535126	0
2	-0.800412124724745	2
1	-0.061953962940815	1
0	-0.0203327735724805	0
1	0.237021884785934	1
1	-0.487278516906856	1
2	-0.586215804096539	2
0	0.0355890408348012	0
0	0.19016516561333	0
0	0.152657795549451	0
0	0.0171751004031577	0
0	0.298564653908284	0
1	0.103565235182074	1
1	-0.340951810505772	1
0	0.35237244741618	0
0	0.212786581677431	0
1	-0.116969068767373	1
0	0.412276896879566	0
0	0.0812907150877802	0
0	0.155703951654488	0
0	0.00951291710800639	0
0	0.446464329540088	0
1	-0.36254834184793	1
1.94834	0.143356778731809	2
0	0.142658274170631	0
0	0.100657451543093	0
0	0.737261696072181	0
0	-0.25853957818516	0
1.92475	-0.337336193558898	2
0	0.0765965383697074	0
1	0.0490928502849668	1
1	-0.399189915469172	1
0	0.0385919262059913	0
1	-0.310303826738107	1
0	0.355773437727065	0
1	0.00293634643172425	1
1	-0.220021063514383	1
0	-0.111517364379187	0
0	0.0806319344304969	0
0	-0.351246298729105	0
0	-0.221679494402313	0
0	-0.0666781523557898	0
1.94834	-0.130791161699836	2
0	0.225868351984817	0
0	-0.244191660648156	0
0	0.538731143551096	0
0	0.327652553596836	0
1	-0.751443557826654	1
0	-0.00662205198078247	0
1	-0.366890842749505	1
1	-0.174400052820006	1
0	0.446038329891516	0
1	-0.402146226636924	1
0	0.373662120155058	0
0	0.369251845502966	0
1	-0.568078996209358	1
1	0.0567520517776074	1
1	-0.305329334857211	1
1.11388	-0.629037940870615	1
0	0.304170280751569	0
1	0.0228763807635763	1
1	-0.332843177287896	1
0	0.0193804257789481	0
0	0.794424643489089	0
0	0.809484435941425	0
1	0.208121391602337	1
0	0.542286329807725	0
0	0.569213681533734	0
1	-0.059659651176541	1
0	0.414146037222674	0
1	-0.175156344100674	1
0	0.437745096906538	0
1	-0.274943121730509	1
0	0.0582984611086879	0
0	0.158709950482538	0
1	0.0212203836602836	1
0	0.209255522213681	0
0	0.214723935104042	0
0	0.1490020255701	0
2	-0.986327908947207	2
1	0.164986994031076	1
0	0.138309230688415	0
0	0.00218630001643749	0
1	-0.130952058893359	1
1	0.0607218549616348	1
0	-0.36981893427226	0
0	0.287294755667109	0
1	-0.042730582976465	1
0	0.081312007662814	0
1	-0.563636722676764	1
0	0.427694926756458	0
0	-0.00809794284930909	0
0	0.0766383575808316	0
0	0.358243285099364	0
1	0.193182372083335	1
2	-1.14883667324804	2
0	-0.488469887040432	0
0	0.543221048103815	0
0	0.303170006188134	0
0	-0.030689463104137	0
0	0.276025190139709	0
0	-0.0362075951155436	0
0	0.190174926410079	0
1	-0.461993571064063	1
1	-0.0579552449687313	1
0	0.126825626122298	0
1	0.043056824760983	1
0	0.0732682009748586	0
1	-0.465221965675208	1
1	-0.00919382168941763	1
0	-0.149428156771655	0
0	0.184060054969295	0
0	0.269619117359706	0
1	0.331166281973035	1
