Quantile	Reduction_in_anubis_ancestry
0.1	0.00373748051822753
0.1	0.061769410063564
0.1	0.0369434772203796
0.1	0.0328689258482309
0.1	0.0136192093875478
0.1	-0.00429328072809543
0.1	0.0498534804531451
0.1	-0.012997759846882
0.1	0.0272931496680726
0.1	-0.0349688939089436
0.1	0.0381482050437247
0.1	0.0528734172770511
0.1	0.0181646777836982
0.1	0.0363366295791741
0.1	0.0112954283899667
0.1	0.0599058302962997
0.1	0.0304676041183253
0.1	0.00267671125011748
0.1	0.0115199100309175
0.1	0.0200578686887459
0.1	0.0132206792377458
0.1	-0.0326713699633093
0.1	-0.0140002059370552
0.1	0.00685208057915399
0.1	0.0360296594324089
0.1	0.0374110272692196
0.1	-0.00375741843310373
0.1	0.0398431722597975
0.1	0.0199700141961779
0.1	0.0204526619376567
0.1	0.00565893028655784
0.1	0.0143625178073956
0.1	0.0191470693489886
0.1	0.0148826052605214
0.1	0.0654929287803383
0.1	0.025125053826683
0.1	-0.0476642248155529
0.1	0.0197397583161825
0.1	-0.00617530971584745
0.1	-0.00905388950937502
0.1	0.0303095789459911
0.1	0.0188823316728945
0.1	0.0192420943281464
0.1	0.0467551285001415
0.1	-0.0229777883965394
0.1	0.0378270618831913
0.1	-0.0252676483149308
0.1	0.00812389550064985
0.1	-0.010827019460826
0.1	-0.0361653287347772
0.1	0.0535533449757002
0.1	0.0604827814842857
0.1	0.00852364980427978
0.1	0.0251767360401007
0.1	0.0393509762188466
0.1	0.028465117919648
0.1	0.0401378140773703
0.1	0.0244781407058861
0.1	0.0407392253809669
0.1	0.0145425377952957
0.1	0.0302336796098144
0.1	-0.0223961327941529
0.1	0.037280363105108
0.1	-0.00371125814335704
0.1	0.021090133852208
0.1	-0.012294773582408
0.1	0.032815706996291
0.1	-0.0337124635704644
0.1	0.0283897528001498
0.1	-0.00230302609733923
0.1	0.0399888026295294
0.1	-0.0100432427464824
0.1	0.0432595429940782
0.1	0.0677290205282952
0.1	0.0421814680823401
0.1	0.0238473766010565
0.1	0.0253813464524367
0.1	0.023238729870709
0.1	0.00732860652820166
0.1	0.0382041205149567
0.1	0.0329860136371526
0.1	0.0323750801109488
0.1	0.014099483198999
0.1	0.00323609478742093
0.1	0.0298474718345147
0.1	0.00494457709100682
0.1	0.047171183050464
0.1	0.0330995276230728
0.1	0.0237425385851691
0.1	0.0434913548190112
0.1	0.0112120325320516
0.1	0.00307133183028707
0.1	0.05439684841731
0.1	0.0442418658926629
0.1	0.00963252049144581
0.1	0.0551331952671492
0.1	0.00543453197307253
0.1	0.043453277996455
0.1	0.0978136141945872
0.1	0.0329163983578283
0.1	0.0140593865321721
0.1	-0.0113590283849772
0.1	0.0307246059922868
0.1	0.0162955738477406
0.1	0.037578699701592
0.1	0.0206604466769443
0.1	0.0463354889043398
0.1	0.0180530707207638
0.1	0.00784353070969218
0.1	-0.00390986773265112
0.1	0.0194417617496326
0.1	0.0465586260081085
0.1	0.0173079358769447
0.1	-0.0015749728286506
0.1	0.0167051081897832
0.1	0.0227867165390141
0.1	0.00261664925662253
0.1	0.0398065825282224
0.1	0.0465659941455584
0.1	0.03247075294318
0.1	0.024933880015618
0.1	0.00984247014823725
0.1	-0.0106533093606908
0.1	-0.0178839142513116
0.1	0.0471070687650694
0.1	0.00486520391172363
0.1	0.0259548419983775
0.1	0.044673526198417
0.1	0.0335557159194023
0.1	-0.00847144823554313
0.1	0.00210941681345356
0.1	0.0147462215969256
0.1	0.0531423032391881
0.1	-0.0225022835234944
0.1	0.0142683105346261
0.1	-0.0225972088359628
0.1	0.0506035096024035
0.1	0.0666989964485244
0.1	0.0390780867647489
0.1	0.0358422904522053
0.1	0.0420621067611655
0.1	0.0385550811421309
0.1	-0.00803291721448973
0.1	0.0342050384957817
0.1	-0.0199625974016582
0.1	0.0341096309343911
0.1	-0.0183878403935418
0.1	0.036062107132368
0.1	0.00242775771427883
0.1	-0.000698616955996489
0.1	0.0121873320056602
0.1	0.00164509053708695
0.1	0.0106780113588628
0.1	0.00575388820025247
0.1	0.0220694384186751
0.1	0.0381725317223086
0.1	0.0427129896638854
0.1	-0.0094665928385167
0.1	0.0223456401730046
0.1	0.0382071621547923
0.1	0.0232914354229367
0.1	-0.0113982629762898
0.1	0.0210432522460768
0.1	-0.0499774227105482
0.1	0.0131940492582074
0.1	0.0900128859554072
0.1	-0.0303612263517383
0.1	0.00975176915772913
0.1	0.0101242317086019
0.1	-0.0691373548922354
0.1	0.00774033607538072
0.1	0.012631291070518
0.1	0.0153915924049202
0.1	0.00535721887778451
0.1	-0.0166265392754624
0.1	0.020729576993216
0.1	0.0198088301182884
0.1	0.0444213127722468
0.1	0.0448795859696064
0.1	0.0369286695451886
0.1	0.0205962673429423
0.1	0.0383447227889293
0.1	0.0438537699219529
0.1	0.00184690203405491
0.1	-0.0285767944548166
0.1	0.0634382623371434
0.1	0.0412323353574546
0.1	0.0716124770109068
0.1	0.0693039727754652
0.1	0.0532354822286957
0.1	0.0372098079526182
0.1	0.00790188619293974
0.1	0.039159576837393
0.1	0.0671076650318293
0.1	0.00898230646735609
0.1	0.0248867804401239
0.1	-0.0139166128031275
0.1	0.0782936624523218
0.1	0.0387805875017391
0.1	0.0395915212950033
0.1	0.0223459523145939
0.1	0.0127521987068966
0.1	0.00087077851724815
0.1	0.0657760117432966
0.1	-0.0147178027023891
0.1	-0.0146229977214354
0.1	0.00104103549371326
0.1	0.0258447680611426
0.1	0.0703315420762008
0.1	0.00378617585137986
0.1	0.00463615844069021
0.1	0.00909348728800125
0.1	0.0209255271427782
