kid_id mom_id dad_id kid_genome_wide_anubis_ancestry kid_coverage mom_genome_wide_anubis_ancestry mom_coverage dad_genome_wide_anubis_ancestry dad_coverage
AMB_420 AMB_250 AMB_201 0.472 0.886 0.333 0.95 0.606 1.209
AMB_412 AMB_290 AMB_207 0.485 0.649 0.551 1.509 0.427 1.113
AMB_340 AMB_183 AMB_421 0.292 0.956 0.307 0.738 0.291 0.981
AMB_337 AMB_120 AMB_208 0.296 0.749 0.283 1.319 0.304 0.946
AMB_319 AMB_085 AMB_208 0.348 0.664 0.303 1.101 0.304 0.946
AMB_172 AMB_165 AMB_215 0.448 1.072 0.32 1.282 0.555 1.39
AMB_358 AMB_291 AMB_215 0.421 0.959 0.364 2.062 0.555 1.39
AMB_025 AMB_336 AMB_219 0.368 1.069 0.439 0.867 0.368 1.067
AMB_050 AMB_042 AMB_222 0.323 0.925 0.299 1.199 0.352 0.92
AMB_232 AMB_240 AMB_225 0.308 0.966 0.284 1.246 0.33 1.118
AMB_231 AMB_238 AMB_225 0.517 1.173 0.598 1.236 0.33 1.118
AMB_245 AMB_244 AMB_225 0.287 1.245 0.317 1.32 0.33 1.118
AMB_019 AMB_116 AMB_233 0.383 0.995 0.299 1.48 0.445 1.12
AMB_127 AMB_111 AMB_239 0.324 0.798 0.341 1.094 0.275 1.347
AMB_278 AMB_276 AMB_272 0.357 0.962 0.339 1.173 0.313 1.498
AMB_048 AMB_350 AMB_272 0.394 1.045 0.403 1.068 0.313 1.498
AMB_241 AMB_235 AMB_272 0.378 1.028 0.392 1.352 0.313 1.498
AMB_045 AMB_042 AMB_415 0.411 1.135 0.299 1.199 0.546 0.995
