individual	population	mikumi	hamadryas	kinda	guinea	chacma	aberdares	SNPRCyellow	SNPRCanubis
AMB_310	Amboseli	0.448333862986234	0.113569933014036	0.126131602699296	0.0347164293407598	0.132023459977856	0.278719254440048	0.67813884683844	0.2521934939155
AMB_311	Amboseli	0.456557425241169	0.111489301000073	0.123323065975853	0.0343522622460854	0.134472254445496	0.273475509360366	0.687321419110165	0.245539496681772
AMB_312	Amboseli	0.417877968614453	0.136418415077479	0.130782281741017	0.0444065204715801	0.130099579434095	0.341041146041464	0.655787810206076	0.326657696906719
AMB_313	Amboseli	0.457071451115436	0.103539689388906	0.119175827379032	0.0296577048063105	0.131649219592978	0.257523228781472	0.686305349063709	0.23534422442979
AMB_314	Amboseli	0.448814524171517	0.114190987338002	0.123111259726838	0.0326531312578145	0.130307966501129	0.281714344600711	0.678306909185525	0.256301210168287
AMB_316	Amboseli	0.444288063760049	0.103774875150877	0.120627845953212	0.029653548729998	0.128152995882132	0.258903180787879	0.675515149463936	0.239400933796308
AMB_317	Amboseli	0.360693628503056	0.284156762855085	0.194310127927323	0.102536622174875	0.154748249909469	0.666938060321365	0.619781419775378	0.674735712536321
AMB_318	Amboseli	0.452565000438751	0.110714307276479	0.124320896017943	0.0329252717753052	0.131499462895099	0.276120484482897	0.688126041625187	0.250353984482862
AMB_301	Amboseli	0.326223460720042	0.261369144224594	0.160402781872854	0.103123490595796	0.130372145765634	0.563232667720338	0.568029841219195	0.618707765980282
