table_s1_id genome_wide_anubis_ancestry sex entry_type start_year end_year
AMB_376 0.369 M B 1982 1990
AMB_330 0.352 M B 1984 1992
AMB_097 0.285 F O 1979 1994
AMB_098 0.3 F B 2000 2016
AMB_099 0.286 F B 2001 2020
AMB_100 0.31 F B 1987 2001
AMB_352 0.343 F B 1990 2009
AMB_101 0.307 M B 1997 2015
AMB_102 0.308 F B 1985 1990
AMB_337 0.296 F B 1992 2009
AMB_103 0.303 M B 2000 2016
AMB_104 0.326 M B 1998 2016
AMB_105 0.32 F B 1991 2012
AMB_106 0.305 M B 1997 2011
AMB_107 0.346 M B 2004 2021
AMB_108 0.295 F B 1984 1995
AMB_109 0.212 M I 1990 1990
AMB_110 0.317 M I 1982 1994
AMB_316 0.24 M B 1992 2009
AMB_111 0.341 F B 1985 2010
AMB_112 0.304 F B 1982 1999
AMB_310 0.234 F B 2004 2015
AMB_113 0.291 F B 1998 2018
AMB_358 0.421 F B 2011 2021
AMB_114 0.495 F B 1996 2019
AMB_115 0.415 M B 1999 2019
AMB_116 0.299 F B 1994 2014
AMB_117 0.454 F B 2007 2015
AMB_118 0.299 M B 1992 2011
AMB_119 0.391 M B 1999 2019
AMB_291 0.364 F B 1997 2016
AMB_120 0.283 F O 1979 1993
AMB_121 0.35 M B 2003 2015
AMB_122 0.448 F B 2000 2017
AMB_123 0.275 M B 1997 2013
AMB_124 0.272 M B 2002 2009
AMB_125 0.523 F B 2006 2014
AMB_304 0.617 M B 1996 2007
AMB_351 0.317 M B 1988 1991
AMB_126 0.28 F B 1986 2011
AMB_127 0.324 M B 2004 2021
AMB_128 0.451 F B 2001 2016
AMB_357 0.609 M B 2005 2013
AMB_129 0.373 M B 2002 2018
AMB_130 0.439 F B 2009 2021
AMB_131 0.378 F B 2004 2021
AMB_132 0.447 M B 2006 2021
AMB_133 0.436 F B 2006 2021
AMB_134 0.298 F B 2002 2012
AMB_135 0.475 F B 1999 2019
AMB_136 0.447 F B 2000 2017
AMB_137 0.281 F O 2009 2011
AMB_138 0.509 M B 2006 2016
AMB_347 0.303 F B 2005 2006
AMB_139 0.43 F B 1999 2021
AMB_345 0.303 F B 1986 1996
AMB_365 0.296 F B 1992 2004
AMB_325 0.277 F B 1985 1991
AMB_387 0.268 M B 1990 1997
AMB_404 0.297 M I 1986 1994
AMB_140 0.3 M B 1987 2004
AMB_433 0.317 M B 1988 1996
AMB_141 0.296 F B 1999 2013
AMB_142 0.287 M I 1997 2007
AMB_398 0.323 M B 1983 1990
AMB_346 0.276 F B 1992 2004
AMB_396 0.291 F B 1984 2004
AMB_143 0.319 F B 1994 2015
AMB_144 0.348 F B 2001 2021
AMB_145 0.476 M B 1997 2009
AMB_146 0.291 M B 1987 1997
AMB_378 0.288 M B 1985 1992
AMB_147 0.453 F B 2008 2021
AMB_148 0.296 F O 1979 1995
AMB_149 0.457 M B 2008 2021
AMB_150 0.381 M I 1986 1994
AMB_151 0.287 M B 1981 1993
AMB_153 0.458 M B 1997 2019
AMB_154 0.283 M B 1981 1992
AMB_296 0.437 M O 1984 1989
AMB_155 0.323 F B 1988 2000
AMB_290 0.551 F B 1998 2020
AMB_156 0.289 F B 1984 1994
AMB_157 0.435 M B 2003 2013
AMB_158 0.304 F B 1982 2000
AMB_408 0.316 F B 2012 2021
AMB_159 0.302 M B 1997 2009
AMB_160 0.32 F B 1993 2015
AMB_371 0.298 F B 1996 1997
AMB_161 0.303 M B 2003 2015
AMB_162 0.262 M I 1982 1993
AMB_163 0.452 F B 2006 2021
AMB_164 0.462 M B 2007 2018
AMB_165 0.32 F B 1999 2021
AMB_166 0.298 M B 2005 2018
AMB_334 0.306 M B 1984 2004
AMB_167 0.441 M B 2000 2019
AMB_412 0.485 M B 2010 2020
AMB_168 0.289 M O 1984 1995
AMB_169 0.458 M B 2006 2021
AMB_395 0.317 M B 1986 2004
AMB_170 0.313 F B 1995 2009
AMB_171 0.295 F B 1983 2002
AMB_349 0.296 F B 1998 1998
AMB_172 0.448 F B 2010 2021
AMB_173 0.321 M B 1992 2009
AMB_341 0.285 F B 1988 1998
AMB_340 0.292 M B 1997 1998
AMB_174 0.3 F B 1996 2004
AMB_175 0.322 M B 2006 2019
AMB_176 0.348 M B 1996 2016
AMB_177 0.306 F B 2003 2008
AMB_178 0.286 M B 2003 2019
AMB_179 0.294 F O 1992 2008
AMB_180 0.431 M I 2005 2011
AMB_181 0.305 F B 1983 2005
AMB_182 0.451 F B 1999 2009
AMB_183 0.307 F O 1992 2004
AMB_184 0.325 M I 2005 2015
AMB_294 0.421 F B 1999 2011
AMB_185 0.434 F B 2000 2020
AMB_186 0.367 F B 1985 1991
AMB_187 0.337 M B 1985 1995
AMB_188 0.338 F O 1979 1994
AMB_189 0.296 M B 1981 2000
AMB_190 0.329 M I 1986 1993
AMB_191 0.356 M B 2002 2011
AMB_192 0.286 M I 1997 2013
AMB_193 0.483 F B 2007 2013
AMB_194 0.397 F B 1997 2019
AMB_195 0.284 M B 1982 1994
AMB_196 0.3 M B 1983 1991
AMB_197 0.317 F B 1981 1999
AMB_385 0.307 F B 1992 1999
AMB_422 0.482 M I 2017 2017
AMB_198 0.323 F O 1994 1998
AMB_297 0.46 M B 1979 1990
AMB_199 0.539 M I 2004 2014
AMB_200 0.292 M O 1984 1997
AMB_427 0.488 F B 2013 2021
AMB_339 0.284 F O 1984 2003
AMB_201 0.606 M I 2006 2014
AMB_202 0.285 F B 2001 2021
AMB_359 0.299 F B 1984 1989
AMB_204 0.29 F B 2001 2019
AMB_205 0.482 F B 2011 2021
AMB_206 0.339 M B 2007 2020
AMB_403 0.374 M B 2008 2016
AMB_207 0.427 M I 2009 2013
AMB_369 0.474 F B 2005 2009
AMB_424 0.29 F B 1987 1998
AMB_441 0.306 M B 1985 1993
AMB_421 0.291 M B 1989 1997
AMB_432 0.408 F B 2012 2021
AMB_208 0.304 M I 1986 1993
AMB_209 0.306 F B 2002 2021
AMB_342 0.385 F B 2016 2017
AMB_210 0.336 F B 2010 2021
AMB_211 0.298 F B 1976 1991
AMB_212 0.261 M B 2008 2016
AMB_213 0.297 F B 1998 2012
AMB_214 0.279 F B 1982 2002
AMB_215 0.555 M I 2009 2014
AMB_216 0.304 M B 1981 1994
AMB_217 0.531 F B 1996 2017
AMB_218 0.434 M B 2008 2021
AMB_439 0.306 M O 1984 1991
AMB_219 0.368 M I 2000 2010
AMB_409 0.32 M B 1984 1991
AMB_413 0.344 F B 2011 2020
AMB_220 0.326 F B 2010 2021
AMB_221 0.469 M I 2010 2018
AMB_222 0.352 M B 2000 2014
AMB_332 0.301 M I 2008 2016
AMB_223 0.517 M I 2009 2015
AMB_414 0.506 M B 2009 2021
AMB_224 0.361 M B 2005 2021
AMB_225 0.33 M B 1985 1999
AMB_226 0.291 M I 1987 1997
AMB_363 0.29 F B 1990 1994
AMB_368 0.31 F B 1985 2003
AMB_227 0.276 M I 2006 2009
AMB_355 0.302 M O 1984 1999
AMB_383 0.301 M B 1984 1996
AMB_416 0.298 F O 1984 1996
AMB_438 0.307 M B 1987 1995
AMB_228 0.549 M I 2016 2021
AMB_388 0.371 F B 2013 2021
AMB_429 0.301 F B 1989 2004
AMB_229 0.36 M B 2007 2016
AMB_411 0.364 M B 2012 2020
AMB_231 0.517 M B 1996 2013
AMB_232 0.308 M B 1995 2012
AMB_379 0.294 M O 1984 1998
AMB_233 0.445 M B 1995 2013
AMB_234 0.293 F B 2001 2021
AMB_305 0.377 F B 1993 2016
AMB_235 0.392 F B 1998 2017
AMB_236 0.285 M B 1998 2018
AMB_237 0.279 F B 1998 2018
AMB_238 0.598 F B 1990 2015
AMB_239 0.275 M B 1991 2007
AMB_240 0.284 F B 1985 2009
AMB_241 0.378 F B 2012 2021
AMB_242 0.344 F B 1997 2021
AMB_243 0.408 F B 2011 2021
AMB_244 0.317 F B 1987 2005
AMB_245 0.287 F B 1994 2010
AMB_317 0.508 M B 1997 2013
AMB_246 0.491 F B 2006 2021
AMB_247 0.267 M B 1983 1999
AMB_248 0.272 M B 1998 2014
AMB_249 0.267 F B 1983 1994
AMB_250 0.333 F B 1993 2015
AMB_251 0.297 F B 1989 2004
AMB_252 0.343 F B 1984 1994
AMB_253 0.342 M B 1986 1998
AMB_254 0.358 M B 2005 2017
AMB_392 0.293 M O 1984 1991
AMB_255 0.419 M B 2005 2018
AMB_256 0.313 F B 1992 2017
AMB_320 0.472 M B 2006 2006
AMB_257 0.368 F B 1987 2009
AMB_258 0.45 M B 2005 2016
AMB_259 0.453 F B 2005 2018
AMB_298 0.442 F B 1982 2001
AMB_318 0.245 F B 1987 2011
AMB_260 0.429 M B 2004 2015
AMB_261 0.43 F B 2006 2018
AMB_420 0.472 M B 2009 2019
AMB_262 0.475 F B 1996 2020
AMB_263 0.295 F B 1980 1993
AMB_264 0.317 F B 2001 2020
AMB_265 0.452 F B 1999 2021
AMB_266 0.415 F B 1999 2019
AMB_267 0.311 M B 1997 2013
AMB_268 0.301 M B 1997 2015
AMB_269 0.321 F B 1998 2014
AMB_270 0.319 M B 2007 2016
AMB_405 0.383 F B 2012 2021
AMB_327 0.377 M B 2005 2005
AMB_309 0.506 M B 2002 2012
AMB_271 0.481 F B 2002 2017
AMB_272 0.313 M B 1999 2018
AMB_415 0.546 M B 2001 2009
AMB_273 0.488 M B 2009 2021
AMB_274 0.281 F B 1999 2019
AMB_275 0.394 M I 2010 2014
AMB_276 0.339 F B 2000 2021
AMB_277 0.336 M B 2002 2020
AMB_428 0.536 F B 2005 2009
AMB_410 0.408 M B 2011 2021
AMB_278 0.357 F B 2009 2021
AMB_402 0.593 F B 2008 2010
AMB_279 0.477 F B 2000 2009
AMB_308 0.575 M B 2003 2014
AMB_280 0.4 F B 2005 2021
AMB_281 0.524 M I 2009 2013
AMB_423 0.31 M O 1984 1997
AMB_282 0.422 F B 2007 2013
AMB_287 0.613 M I 2007 2014
AMB_283 0.581 M B 2005 2019
