Order	studyid	year	dataset	mass	sex	age
106	106	AMB_119	2007	eLife	23.1	M	8.205338809
107	107	AMB_161	2009	eLife	17.7	M	6.674880219
108	108	AMB_309	2010	eLife	23.6	M	7.274469541
109	109	AMB_131	2010	eLife	10.9	F	6.685831622
110	110	AMB_238	2009	eLife	13	F	19.75633128
111	111	AMB_199	2010	eLife	24.3	M	14.07255305
112	112	AMB_232	2009	eLife	24.1	M	14.74332649
113	113	AMB_268	2008	eLife	23.9	M	11.84668036
114	114	AMB_043	2010	eLife	10	F	6.461327858
115	115	AMB_076	2010	eLife	15.6	F	11.72347707
116	116	AMB_104	2010	eLife	28.7	M	12.64887064
117	117	AMB_281	2010	eLife	23.6	M	11.9890486
118	118	AMB_223	2010	eLife	28.2	M	8.657084189
119	119	AMB_021	2010	eLife	26.1	M	7.403148528
120	120	AMB_134	2009	eLife	10.4	F	7.118412047
121	121	AMB_054	2010	eLife	17.8	M	6.844626968
122	122	AMB_235	2010	eLife	14.5	F	11.58658453
123	123	AMB_318	2009	eLife	12.6	F	21.3744011
124	124	AMB_077	2010	eLife	13.8	F	7.72347707
125	125	AMB_029	2010	eLife	12.4	F	5.779603012
126	126	AMB_121	2010	eLife	22.9	M	7.252566735
127	127	AMB_191	2009	eLife	18	M	6.483230664
128	128	AMB_167	2010	eLife	24.7	M	9.987679671
129	129	AMB_013	2010	eLife	9.8	F	4.914442163
130	130	AMB_017	2010	eLife	23.1	M	8.364134155
131	131	AMB_308	2010	eLife	16.4	M	6.746064339
132	132	AMB_133	2010	eLife	9	F	4.216290212
133	133	AMB_271	2009	eLife	11.6	F	6.825462012
134	134	AMB_051	2010	eLife	9.7	F	4.539356605
135	135	AMB_366	2008	eLife	27.7	M	13.76043806
136	136	AMB_052	2009	eLife	11.3	F	8.583162218
137	137	AMB_159	2007	eLife	27	M	9.596167009
138	138	AMB_024	2009	eLife	19.9	M	8.150581793
139	139	AMB_272	2010	eLife	27	M	10.72689938
140	140	AMB_215	2010	eLife	24.6	M	11.23340178
141	141	AMB_087	2009	eLife	17.9	M	6.258726899
142	142	AMB_262	2009	eLife	12.3	F	13.74948665
143	143	AMB_019	2010	eLife	11.3	F	5.423682409
144	144	AMB_307	2010	eLife	27.2	M	10.51060917
145	145	AMB_259	2010	eLife	12.5	F	4.941820671
146	146	AMB_016	2010	eLife	15.1	M	6.466803559
147	147	AMB_221	2013	TruCulture	25.6	M	17.0513347
148	148	AMB_414	2015	TruCulture	14.2	M	5.63449692
149	149	AMB_224	2013	TruCulture	23.5	M	8.106776181
150	150	AMB_228	2016	TruCulture	23.2	M	8.364134155
151	151	AMB_234	2016	TruCulture	11.6	F	14.7871321
152	152	AMB_237	2016	TruCulture	14.3	F	18.05886379
153	153	AMB_238	2015	TruCulture	14.5	F	25.31964408
154	154	AMB_246	2016	TruCulture	12.2	F	10.01505818
155	155	AMB_258	2013	TruCulture	24.7	M	8.353182752
156	156	AMB_420	2016	TruCulture	18.4	M	7.008898015
157	157	AMB_270	2014	TruCulture	22.4	M	7.039014374
158	158	AMB_272	2014	TruCulture	NA	M	14.52977413
159	159	AMB_273	2015	TruCulture	17.6	M	5.875427789
160	160	AMB_278	2015	TruCulture	14	F	6.343600274
161	161	AMB_308	2014	TruCulture	NA	M	10.56536619
162	162	AMB_280	2016	TruCulture	13	F	10.954141
163	163	AMB_287	2013	TruCulture	23.5	M	20.47364819
