individual	population	SNPRCanubis	guinea	hamadryas	aberdares
1	MIK_004	Mikumi	0.047601259192377	0.00670289116749273	0.0258884702348961	0.0825705327091649
2	MIK_005	Mikumi	0.0609747263197798	0.00976288893341022	0.0346137392761935	0.0976138446118232
3	MIK_006	Mikumi	0.0579893201391314	0.00923945985996902	0.0336087274405965	0.0950096428726553
4	MIK_007	Mikumi	0.0554794762540761	0.00898116418366604	0.0319214521032817	0.0910543402958951
5	MIK_009	Mikumi	0.0559657794206038	0.00894336397406335	0.0324979705609832	0.0911366680754301
6	MIK_010	Mikumi	0.0556629838879751	0.00844097053908785	0.0318845191497499	0.0914443882796936
7	MIK_011	Mikumi	0.0526434875786785	0.00803941920902408	0.0292652686366062	0.0901497694472184
8	MIK_012	Mikumi	0.0594030116519154	0.00970787750132366	0.0342985604767818	0.0976062467154774
9	MIK_013	Mikumi	0.0575563982874127	0.00956898050871944	0.0330289276872334	0.0918282688090842
10	MIK_014	Mikumi	0.0582578309381812	0.00945318108241857	0.0328533910067766	0.0961173540338401
11	1_3548	SNPRCyellow	0.159252355948097	0.034861098264981	0.0889149609923809	0.202026324882558
12	1X0102	SNPRCyellow	0.334616734097592	0.0838650099251872	0.176384750778315	0.369177936448042
13	1X0110	SNPRCyellow	0.344683815743066	0.0845450444148054	0.176988931714142	0.38016245540277
14	1X1734	SNPRCyellow	0.252308023715719	0.0626220825952425	0.136742756499985	0.292349283727172
15	1X2049	SNPRCyellow	0.299256214336593	0.074061938191469	0.16146494173536	0.337671013838754
16	1X2208	SNPRCyellow	0.25888236389474	0.0624116748890916	0.141236729283296	0.299161846804713
17	1X2304	SNPRCyellow	0.209273086212098	0.0471404754881766	0.110943835519036	0.253497209623754
18	pcyn_16066	Mikumi	0.0630270214294487	0.0105497248023036	0.0369578712746373	0.100426158095575
