number.of.SNVs	B	recombination.rate	highly.differentiated.sites
0.0274249745672123	0.016271820940073	0	-0.0137255416617166
0.0303273088145363	0.0172934303146713	0	-0.0174999525945534
0.0320124125231053	0.017842125383096	0.000306099978841424	-0.0188522562827661
0.0298169009140982	0.0180219156669674	0	-0.0152626866171887
0.0275416006363322	0.0157963971556752	0	-0.0116896794763284
0.0267560500702382	0.0157486344191826	0	-0.0107297628621693
0.027596189591776	0.0150168725603871	0	-0.0139901332225324
0.0257363322700976	0.0111003038832347	0	-0.0103522185733728
0.0255082329125806	0.0177832968102307	0	-0.0170094527356975
0.0279420624737186	0.0215870495346691	0.000874931918676759	-0.016506984701587
0.0276110465145588	0.0180882260472896	0.000902446253571882	-0.0137024994629717
0.0289794582947522	0.0186036830769422	0	-0.0169299572582554
0.0316650352563266	0.0133108872832629	0	-0.012238043727368
0.0277869025924914	0.016526121858364	0	-0.0141701934984324
0.0242339714168364	0.0138454238578361	0	-0.0135832453270344
0.0323678611496033	0.01983600537086	0	-0.015815849867571
0.0298938235554262	0.0176930644778689	0	-0.0126367295853015
0.0281596406467189	0.022577088876999	0.000448035110026584	-0.0185358950144985
0.026642060454179	0.0191774948838961	0	-0.0165589226367521
0.0268458823550425	0.017115551242259	0	-0.0168963158306989
0.0314756750150029	0.0166643282882709	0	-0.0132843506515571
0.0306506047636715	0.0205791635054124	0.000253920016179441	-0.0187337938149572
0.0305225993474769	0.0182545551821039	0	-0.0185492084518167
0.026929925481103	0.017554334739517	0	-0.0125404779820957
0.0273638177522999	0.0192802361720119	0	-0.0111331427811266
0.0279404270262439	0.0211733818864359	0.00171353987354716	-0.0213764148788583
0.0256922228112417	0.0149714865931147	0	-0.0141308272066066
0.0274310715684208	0.0175510937694846	0	-0.0153709961782524
0.0300000669362496	0.0162011089057683	0.000379143118283964	-0.0152518014891139
0.0239228395803076	0.0166700005592549	0	-0.0126592061556239
0.0301395194723343	0.0204821316266379	0	-0.0166922948191165
0.0274137285285935	0.0221965834616006	0	-0.0137270912667275
0.0247719496395162	0.0205691376494842	0	-0.0171842490542089
0.030625943872856	0.0183892682861755	0.00203849134198681	-0.0166093153843906
0.0242876596261524	0.0155874646799459	0	-0.00820933564622889
0.0270581503960653	0.0175662141112553	0	-0.0150418531006238
0.0278510766417887	0.0176739724885372	0.000479463465941791	-0.0122565085569436
0.0283515309358518	0.0231287330524051	0.00103667777597425	-0.0148003032787425
0.0269234112708196	0.0178036432068355	0	-0.0136227741579418
0.025265016055555	0.0150664898071086	0	-0.016486571984452
0.0265703861010964	0.016956045921957	0	-0.0134065009773848
0.0229773169431413	0.0166761448508503	0	-0.0107085690195463
0.033151529980046	0.0164658391990789	0	-0.0178525198197793
0.0264941448975845	0.018150040772022	0	-0.0126025422915662
0.0244064154681727	0.0190079144478253	0	-0.0119358327082792
0.0273470193072652	0.0165588785601913	0	-0.0100376074959477
0.0243820870798096	0.0189386076867486	0	-0.0120736194220709
0.0276077091801202	0.0190129487321712	0	-0.0144284458699587
0.0266777963073418	0.0153453063591048	0.000387994375612752	-0.0146577939234295
0.0283440943137831	0.0207751134787568	0	-0.0158766032390304
0.030262726324306	0.0251503603141227	0.0039198734609694	-0.021248515419508
0.0278225212691711	0.0167317479496977	0.000542298285908014	-0.0171428489400874
0.027871036477439	0.0166730894019736	0	-0.0132928839195085
0.0261789607910519	0.0119492601207638	0	-0.00951890545673386
0.0258654151773856	0.0186671970714155	0.000559202393257461	-0.0143053811282683
0.0296673593708345	0.0173173647510485	0	-0.0161785008873008
0.022219451394965	0.0141584725939751	0	-0.010763114100121
0.0241663826911836	0.0199154665225488	0	-0.0151985633227958
0.0282403351896659	0.0141035803885228	0	-0.015333909790223
0.0244756060552404	0.0164024089494908	0	-0.0116657922438426
0.0274864927539771	0.018956497278105	0	-0.0189146939035855
0.0316917946376905	0.0146874511979786	0.000241616723110125	-0.0132475175178506
0.0295152069984152	0.020338765867733	0	-0.017893981337699
0.0278313665794178	0.0198942099750479	0	-0.0134275143118843
0.029273979068781	0.0154269364951656	0	-0.0100487302536104
0.0247543838423314	0.0178717922764682	0	-0.0102155958095641
0.027526915760544	0.0159791928266491	0	-0.0162120779664662
0.0286174163998068	0.019571161895551	0	-0.0184712691341207
0.0260434464951409	0.0140340048422317	0	-0.012714256189323
0.0262776367254704	0.01755672366538	0	-0.0116875024296874
0.0302821561004233	0.0192728620665637	0	-0.0168759628931422
0.0254049865105263	0.0170587956772299	0	-0.0108344983595258
0.0261890884159964	0.0152983158700777	0	-0.0122613360558545
0.0293602166604594	0.0157015963940919	0	-0.0172522972531671
0.0261676932877034	0.0209168640887055	0	-0.0121140901623648
0.0276593703970626	0.020281882021795	0	-0.016792556979439
0.0285843698932846	0.0180435308381675	0	-0.0150134049869924
0.0318228254062945	0.0215943046312102	0.00254822055435869	-0.0204764209549887
0.0255475326860663	0.0159989904090291	0	-0.01253960345427
0.0264393527767979	0.0188820638850291	0	-0.0159127016572502
0.0268102042490606	0.0213333907408356	0	-0.0160288927104827
0.0261279286699294	0.0209433831754907	0.00305251175987123	-0.0147644637470983
0.0240693696560815	0.0135292385062083	0	-0.00694051783100319
0.0275553884933835	0.0198159418806015	0	-0.0161837257079063
0.0244392012596186	0.016681142699568	0	-0.0134941629740085
0.0267504050583287	0.0152057793819855	0	-0.0124218041727864
0.0261564317414545	0.0172637884799935	0	-0.0145310175678723
0.0267464872043271	0.018563384287442	0	-0.0149699489695776
0.0257504185123256	0.0188992821746624	0.00123922010456677	-0.0156837916592336
0.0274268040289009	0.020011623930736	0	-0.0180849188537384
0.0320191916941709	0.0157995981602433	0	-0.0190324500410887
0.0249811559640786	0.0190708956441875	0	-0.0117265326524105
0.0302343729200737	0.0196508882717361	0.000566590655679537	-0.0162936105164119
0.0262067571360839	0.0173196858438263	0.00125235688301194	-0.0131459276092497
0.0245266023719923	0.0200174944247967	0.0002330881064436	-0.01515106612684
0.0289994850755319	0.0174569466997486	0	-0.012989345119667
0.0297658316079073	0.0158874511723857	0	-0.0178223625189272
0.0251890581269431	0.0192336438452417	0	-0.0124588003688863
0.033160024151336	0.0247405074335761	0.00056376468856096	-0.023138758878899
0.0265563365738296	0.0172989673954908	0	-0.0135106222588546
0.0276120500044399	0.0154288208460816	0	-0.0145515235622932
0.0275511260634874	0.0177423468526717	0	-0.0151492994461515
0.0266725792350302	0.0163590074810156	0	-0.012829725329868
0.02568556622897	0.0177960452457851	0.000151320398292395	-0.0153252772608854
0.026535988804385	0.0190769434186669	0	-0.0146133425093339
0.0263487432167146	0.0129927629813967	0	-0.0131189469635774
0.0288943298503702	0.0199123757881546	0.000491294927298303	-0.0162121766848934
0.0283041780355565	0.0146744008970715	0	-0.0134087894486871
0.0307335735488364	0.0198178729448382	0	-0.0163603811437667
